"Source","Tag","Score","Reason","Spec","Structure","LevelId","AssetPath","Width","Height","Chains","TargetChains","Drift","AllowedCoverage","OuterBandCoverage","InitialMovableChains","OpeningRatio","ShortChains","Straightness","OuterCutCells"
"base","check","1174.1","open;","front20_02_section_17x18","SectionUnlock","hole_candidate_002_front20_02_section_17x18","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_002_front20_02_section_17x18.asset","17","18","24","20","4","0.983","0.976","7","0.292","6","0.346","0"
"base","check","1149.6","open;","std_20x24_section","SectionUnlock","hole_candidate_013_std_20x24_section","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_013_std_20x24_section.asset","20","24","45","43","2","0.968","0.950","13","0.289","9","0.305","0"
"base","check","1128.8","straight;","std_20x26_lock","LockBuckle","hole_candidate_015_std_20x26_lock","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_015_std_20x26_lock.asset","20","26","45","48","3","0.980","0.976","5","0.111","12","0.450","0"
"base","check","1125.9","open;","std_18x24_lock","LockBuckle","hole_candidate_006_std_18x24_lock","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_006_std_18x24_lock.asset","18","24","42","38","4","0.978","0.967","13","0.31","12","0.328","0"
"topup","check","1121.1","open;","topup_tall_18x26_maze","MazeLongChain","hole_topup_003_topup_tall_18x26_maze","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_003_topup_tall_18x26_maze.asset","18","26","40","34","6","0.975","0.956","12","0.3","10","0.284","0"
"base","check","1116","open;","tall_20x30_section","SectionUnlock","hole_candidate_064_tall_20x30_section","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_064_tall_20x30_section.asset","20","30","51","56","5","0.983","0.978","16","0.314","13","0.367","0"
"base","check","1112.6","open;","std_22x26_lock","LockBuckle","hole_candidate_021_std_22x26_lock","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_021_std_22x26_lock.asset","22","26","53","53","0","0.970","0.949","15","0.283","18","0.201","0"
"base","check","1108","straight;","front20_01_lock_16x18","LockBuckle","hole_candidate_001_front20_01_lock_16x18","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_001_front20_01_lock_16x18.asset","16","18","28","18","10","0.977","0.975","6","0.214","7","0.406","0"
"base","check","1099.4","manyShort;","std_24x26_lock","LockBuckle","hole_candidate_027_std_24x26_lock","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_027_std_24x26_lock.asset","24","26","59","59","0","0.984","0.978","16","0.271","23","0.212","0"
"topup","check","1098.6","open;","topup_tall_20x28_dense","DenseWeave","hole_topup_005_topup_tall_20x28_dense","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_005_topup_tall_20x28_dense.asset","20","28","54","54","0","0.973","0.972","16","0.296","21","0.237","0"
"base","check","1090.7","manyShort;","wide_30x24_lock","LockBuckle","hole_candidate_075_wide_30x24_lock","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_075_wide_30x24_lock.asset","30","24","68","69","1","0.985","0.980","9","0.132","23","0.241","0"
"base","check","1071","manyShort;","std_28x28_lock","LockBuckle","hole_candidate_051_std_28x28_lock","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_051_std_28x28_lock.asset","28","28","76","76","0","0.979","0.986","5","0.066","26","0.273","0"
