"order","section10","category","bucket","experienceRole","baseChain","projectedChain","canvasAdjustedChain","chainDeltaVsBase","projectedArea","projectedArrow","isLongChain","projectionReason","donorOrTargetOrder","sourcePool","productionLane","chainLanguage","note","projectedAsset"
"1","1","normal","Ordinary","Normal","6","6","6","0","70","21","False","keep_current","","","","","","Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset"
"2","1","hole","HoleRescue","HoleRescue","22","22","22","0","288","130","False","keep_current","","","","","","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset"
"3","1","normal","Ordinary","Normal","36","15","15","-21","192","181","True","v11_review_target","290","SeedV5LongChain30Front300","slot_seedweave_braid_carrier","family_profile_chain","s1 ordinary 36->15","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_02_l003_long_normal_a_normal_s01_slot_seedweave_braid_carrier.asset"
"4","1","shape","Shape","Shape","55","55","55","0","672","459","False","keep_current","","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_01_L004_crystalball.asset"
"5","1","normal","Ordinary","Normal","36","21","21","-15","378","360","True","v11_review_target","272","SeedV5LongChain30Front300","slot_seedweave_braid_carrier","family_profile_chain","s1 ordinary 36->21","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_17_l022_long_normal_b_section_s03_slot_seedweave_braid_carrier.asset"
"6","1","shape","Shape","Shape","53","53","53","0","896","479","False","keep_current","","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_02_L006_potionbottle.asset"
"7","1","normal","Ordinary","Normal","50","24","24","-26","374","349","True","v11_review_target","286","SeedV5LongChain30Front300","slot_seedmaze_chamber_corridor","family_profile_chain","s1 ordinary 50->24","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_05_l005_long_normal_b_normal_s01_slot_seedmaze_chamber_corridor.asset"
"8","1","normal","Hard","Normal","46","35","35","-11","450","426","True","v11_review_target","204","SeedV5LongChain30Front300","slot_seedmaze_chamber_corridor","family_profile_chain","s1 hard 46->35","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_175_l234_long_normal_b_sweep_s24_slot_seedmaze_chamber_corridor.asset"
"9","1","shape","Shape","Shape","34","34","34","0","676","221","False","keep_current","","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_03_L009_ruler.asset"
"10","1","normal","Peak","Normal","52","38","38","-14","432","430","False","v11_review_target","295","Campaign500_HardGateUntil0910","FlowRail","rail_chain","s1 no real peak pressure 52->38","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_123_nutation_flow_rail_v1_rect_s11_o102_v02_flowrail_rail_chain.asset"
